Municipailty,Barangay,Latitude,Longitude,Evacuation Centre,Status
Tacloban,"For Anibong District & Barangay 36,37",11.015,124.982,Anibong Elementary School,
Tacloban,Full (old Road),11.01,124.6051,Eastern Visayas State of University,
Tacloban,"Barangay. 35 A, Hillside youngfield, 60 & 60A",11.23057,124.997,Holy Infant college,
Tacloban,Barangay. 88 Sanjose,11.2378,125.0012,Leyte Normal University,
Tacloban,,11.237,125,Leyte National High School,
Tacloban,"Barangay. 83C, 83A, 85 & 86",11.2,125.006,Marasbaras Elementary School,
Tacloban,Barangay. 89 & 90,11.1957,125.007,Marasbaras High School,
Tacloban,"Barangay 48A, 48B, 58 & Mahusay Barangay. 88",13.1569,123.7429,Redemptorist Church,
Tacloban,Barangay. 31 Pampango,10.95,122.633,Rizal Elementary School,
Tacloban,"Barangay 6,1 & 4,2",,,Old Deped,
Tacloban,"Barangay 6,1 & 4,2",,,TRT Elementary School,
Tacloban,"Barangay. 63, 60A , 60 , 61, 75",11.216,125.002,Sagkahan National High School,
Tacloban,Barangay. 62 & 62A,,,RTRMF,
Tacloban,Barangay 71 & 72,,,Bayanihan Elementary School (PHHC),
Tacloban,Barangay 74,16.0947,120.3678,Bliss Elementary School,
Tacloban,"Barangay 35,40A, 51 A , 56",11.2436,124.999,Kapangian Elementary School,
Tacloban,"Barangay 54, 52 ,51",,,Calibaan Elementary School,
Tacloban,,,,Apitong Elementary School,
Tacloban,Barangay 56 & 54 A,,,V & G Elementary School,
Tacloban,,13.1489,123.7539,St. Raphael Church,
Tacloban,,11.2491,124.972,Anibong Barangay. Hall,
Tacloban,,,,Bagacay DOH Bldg.,
Tacloban,,,,Astrodome,
Tacloban,,11.2405,125.0011,"St. Therese, Abucay",
Tacloban,,11.2456,124.995,Leyte Progressive High School,
Tacloban,,11.2411,125,Liceo Del Verbo Divino,
Guiuan,Baras,,,Elementary school,
Guiuan,Baras,,,day care center,
Guiuan,Baras,,,Barangay hall,
Guiuan,Barbo,,,Health center,
Guiuan,Barbo,,,Day care center,
Guiuan,Barbo,,,Tanod outpost,
Guiuan,Barbo,,,3 private houses,
Guiuan,Bungtod,,,,
Guiuan,Cagdara-o,,,Day care center,
Guiuan,Cagdara-o,,,Health center,
Guiuan,Cagdara-o,,,PTAFCO building,
Guiuan,Camparang,,,Tubabao National High School,
Guiuan,Camparang,,,4 private houses,
Guiuan,Campyong,,,,
Guiuan,Cogon,,,Private houses,
Guiuan,Cogon,,,MSH,
Guiuan,Lupok (Pob.),,,,
Guiuan,Ngolos,,,Elementary school,
Guiuan,Ngolos,,,Day Care Center,
Guiuan,Ngolos,,,Health Center,
Guiuan,Ngolos,,,Private houses,
Guiuan,Ngolos,,,Cordaid-supplied shelters,
Guiuan,Pagnamitan,,,,
Guiuan,Poblacion Ward 1,,,"FOR ALL POBLACION, BELO",
Guiuan,Poblacion Ward 2,11.0316,125.722,Saint Mary's Academy of Guiuan,
Guiuan,Poblacion Ward 11,11.032,125.724,Guiuan East Central School,
Guiuan,Poblacion Ward 12,14.916,120.7689,Knight of Columbus Building,
Guiuan,Poblacion Ward 3,,,,
Guiuan,Poblacion Ward 4,,,,
Guiuan,Poblacion Ward 5,,,,
Guiuan,Poblacion Ward 6,,,"SMAG, GDFI building",
Guiuan,Poblacion Ward 7,,,,
Guiuan,Poblacion Ward 8,,,Day care centre,
Guiuan,Poblacion Ward 8,,,Barangay hall,
Guiuan,Poblacion Ward 8,,,Private houses,
Guiuan,Poblacion Ward 9,,,,
Guiuan,Sapao,,,Naputo Building,
Guiuan,Sapao,,,MSH Sister's School,
Guiuan,Sulangan,14.6567,121.1507,Sulangan National High School,
Guiuan,Sulangan,11.146,123.726,Sulangan Elementary School,
"Borongan City, Eastern Samar",Northern Barangays,11.49025,125.5072,Eastern Samar State University,Not sure if the location is correct.
"Borongan City, Eastern Samar",Northern Barangays,,,Brgy. Hindang Evacuation Center,
"Borongan City, Eastern Samar",Northern Barangays,,,"EASITECH, Libutan",
"Borongan City, Eastern Samar",Southern Barangays,11.571,125.46,Our Lady of Mercy College,
"Borongan City, Eastern Samar",Western Barangays,,,Sohuton Evacuation Center,
"Borongan City, Eastern Samar",Downtown,,,MSH Sister’s School,
"Borongan City, Eastern Samar",Downtown,,,Seminario De Jesus Nazareno,
"Borongan City, Eastern Samar",Downtown,,,City Hall Building,
"Borongan City, Eastern Samar",Downtown,,,Capitol and Legislative Buidling,
"Catbalogan City, Samar",all,11.7789,124.8826,Samar College,
"Catbalogan City, Samar",all,8.2434,124.2518,New Life Christian Center,
"Catbalogan City, Samar",all,,,Pupua Elementary School,
"Catbalogan City, Samar",all,,,Maulong Elementary School,
"Catbalogan City, Samar",all,10.4877,125.1847,Mercedes Elementary School,
"Catbalogan City, Samar",all,,,City Homes Elementary School,
"Catarman, Northern Samar",all,,,New Capitol Building,
"Maasin City, Southern Leyte",all,,,,
Busuanga,BGRY.BOGTONG,,,BOGTONG HEALTH CENTER,
Busuanga,BRGY. SAN RAFAEL,,,ABS CBN SCHOOL BUILDING,
Busuanga,BRGY. SAN ISIDRO,,,SAN ISIDRO ELEM.SCHOOL,
Busuanga,BRGY. CHEEY,,,CHEEY ELEM.SCHOOL,
Busuanga,BRGY. MAGLALAMBAY,,,MAGLALAMBAY ELEM.SCHOOL,
Busuanga,BRGY. MAGLALAMBAY,,,MAGLALAMBAY DAY CARE CENTER,
Busuanga,BRGY. MAGLALAMBAY,,,MAGLALAMBAY HEALTH CENTER,
Busuanga,BRGY. CONCEPCION,,,CONCEPTION ELEM. SCHOOL,
Busuanga,BRGY. NEW BUSUANGA,,,NEW BUSUANGA ELEM. SCHOOL,
Busuanga,BRGY. STO. NINO,,,STO. NINO ELEM. SCHOOL,
Busuanga,BRGY. STO. NINO,,,STO. NINO DAY CARE CENTER,
Busuanga,BRGY. STO. NINO,,,DIPUYAY ELEM. SCHOOL,
Coron,POBLACION V DAY CARE CENTER,,,BRGY. 4,
Coron,CLAUDIO NORTH ELEM. SCHOOL,,,BRGY. 1,
Coron,CLAUDIO SOUTH ELEM. SCHOOL,,,BRGY. 1,
Coron,CORON SCHOOL OF FISHIRIES,,,BRGY. 1,
Coron,BARANGAY HALL,,,BRGY. 5,
Coron,MARCILLA ELEM. SCHOOL,,,BRGY. MARCILLA,
Coron,BULALACAO ELEM. SCHOOL,,,BRGY. BULALACAO,
Coron,NUESTRA SENIORA DELOS REMEDIOS CHAPEL,,,BRGY. BULALACAO,
Culion,BALALA BRGY. HALL,,,BRGY. BALALA,
Culion,BALALA ELEM. SCHOOL,,,BRGY. BALALA,
Culion,ST. JOSEPH CHURCH,,,BRGY. BALALA,
Culion,BALDAT BRGY. HALL,,,BRGY. BALDAT,
Culion,WESTERN PHILIPPINE UNIVERSITY,,,BRGY. BALDAT,
Culion,BALDAT ELEM. SCHOOL,,,BRGY. BALDAT,
Culion,PASTORAL HOUSE,,,BRGY. BALDAT,
Culion,TOWN HALL/ LIBIS DAT CARE CENTER,,,BRGY. LIBIS,
Culion,TIZA BRGY. HALL,,,BRGY. TIZA,
Culion,OSMENA BRGY. HALL,,,BRGY. OSMEÑA,
Culion,SAN JOSE DAYCARE CENTER,,,BRGY. OSMEÑA,
Culion,SAN JOSE CHAPEL,,,BRGY. OSMEÑA,
Culion,CULION NATIONAL HIGH SCHOOL,,,BRGY. OSMEÑA,
